Title,Other titles,ISBN,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Genre
Queens,,9.7814E+12,"Nanjan, J. [person] ; Sauvage, Marguerite, artist [person] ; Broome, Wendy, illustrator [person] ; Abbott, Wes [person] ; Braga, Laura, artist ; cartoonist [person] ; Lucia, Ant, artist [person] ; Bennett, Marguerite, author [person] ; Andolfo, Mirka, artist [person] ; Lawson, Jeremy, cartoonist [person]",DC Comics: Bombshells,volume 4 [DC Comics: Bombshells],United States of America,"Burbank, California",DC Comics,2017,Comic or graphic novel
Queerville,,9.78386E+12,"Bouden, Tom [person]",,,England ; Germany,Berlin ; London,Bruno Gmünder ; Turnaround,2007,Comic or graphic novel ; Erotic ; Fiction
Quelque part entre les ombres,Arctic-Nation ; Blacksad ; Âme rouge,9.7816E+12,"Guarnido, Juanjo, 1967- [person] ; Díaz Canales, Juan, 1972- [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2010,Comic or graphic novel ; Detective and mystery ; Novel ; Translations into English
Quest : part 1,Gallant and Amos. No. 2. 'The quest' : part 1,,"Rushton, Dan, editor [person] ; Barnes, Rob, artist ; author ; writer [person]",,,England,London,Fair Spark,2018,Comic or graphic novel ; Novel
Quest begins,Rave master. Vol. 1. The quest begins,9.7816E+12,,Cine-manga,,England ; United States of America,"London ; Los Angeles, California",Tokyopop,2004,Children's fiction ; Comic or graphic novel ; Fantasy
Quest called tribe,Pocket God. A quest called tribe,9.78194E+12,"Campo, Antonio, 1978- [person] ; Burns, Jason M., 1978- [person] ; Mallada, Rolando [person]",,,United States of America,"San Diego, California",Ape Entertainment,2012,Comic or graphic novel ; Fantasy ; Novel ; Young adult fiction
Quest for Olwen,Arthur the legend ; Gwalchmai the bravest,9.78191E+12,"Chauvel, David [person] ; Lereculey, Jérôme [person]",,,Wales,Tresaith,Dalen,2010,Comic or graphic novel ; Fiction ; Novel ; Translations into English ; Young adult fiction
Quest for hope,,9.7814E+12,"Sandoval, Rafa, artist [person] ; Vines, Dexter, artist [person] ; Wright, Jason (Jason St. John) [person] ; Venditti, Robert, author [person] ; Van Sciver, Ethan, artist [person] ; Marion, V. Kenneth, 1987-, artist [person] ; Morey, Tomeu, artist [person] ; Tarragona, Jordi, artist [person] ; Sharpe, Dave, letterer [person] ; Ribeiro, Dinei [person]",DC Universe Rebirth ; Hal Jordan and the Green Lantern Corps,volume 3 [Hal Jordan and the Green Lantern Corps],United States of America,"Burbank, California",DC Comics,2017,Comic or graphic novel ; Fiction
Quest for love,Jane's world. Volume 9,9780979420726 ; 9780979420733,"Braddock, Paige [person]",,,United States of America,"Sebastopol, California",Girl Twirl Comics,2009,Comic or graphic novel ; Fiction ; Novel
Quest of the Golden Handshake,Battle of Bunkum Bay ; Secret of the San Fiasco ; The Captain Pugwash comic book collection,9.78185E+12,"Ryan, John, 1921-2009 [person]",,,England,London,Frances Lincoln,2012,Comic or graphic novel ; Fiction ; Novel
Questionable things,Armed forces ; Dangerous liaisons ; Devilish functions ; Earthly desires ; Elephantmen ; Fatal diseases ; Wounded animals,,"Norman, Justin [person] ; Medellin, Axel, 1975- [person] ; Starkings, Richard [person]",,,United States of America,"Berkeley, California",Image Comics,2007-,Comic or graphic novel
Quick and the dead,Gotham Central. 4. The quick and the dead,9.7814E+12,"Gaudiano, Stefano, artist [person] ; Rucka, Greg, author [person] ; Lark, Michael, artist [person]",,,United States of America,New York,DC Comics,2006,Comic or graphic novel ; Fiction
Quick text version,Henry V : the graphic novel : quick text version,9.78191E+12,"Bryant, Clive [person] ; McDonald, John F. (John Francis), 1948- [person] ; Cameron, Neill, 1977- [person] ; Shakespeare, William, 1564-1616 [person]",,,England,Towcester,Classical Comics,2007,Children's fiction ; Comic or graphic novel ; Historical fiction
Quicksilver,,9.78079E+12,"Ostrander, John, author [person] ; Peyer, Tom, 1954-, author [person] ; Edkin, Joe, author [person]",Avengers,,United States of America,New York,Marvel,2015,Comic or graphic novel ; Fiction ; Science fiction
Quintessence,EGOs. Volume 1. Quintessence ; Earth Galactic Operatives. Volume 1. Quintessence,9.78163E+12,"Moore, Stuart, author [person] ; Storms, Gus, illustrator [person]",,,United States of America,"Berkeley, California",Image,2014,Comic or graphic novel ; Young adult fiction
Quirte,April Fool ; Competition ; Happy New Year ; Hell Scallopini ; Li'l Adam ; Montabaldo ; No Spirit story today ; Spirit ; Taxes and the Spirit ; Teacher's Pet ; The Chapparell Lode ; The Desert ; The Guilty Gun ; The Inheritance ; The Spirit #16 Cover ; The Spirit #22 Cover ; The Story of Gerhard Shnobble ; Thorne Strand and the Spirit ; War Bride ; Will Eisner's the Spirit : artist's edition,9781613771754 ; 9781613776476,"Feiffer, Jules [person] ; Eisner, Will [person]",,,United States of America,"San Diego, California",,2013,Comic or graphic novel
RG Veda,,,Clamp (Mangaka group) [organisation],,,England ; United States of America,Hamburg ; London,Tokyopop,2005-2007,Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction
Rabid dog comic book,Rabid dog,,,,,England,Epping,Rabid Dog,1984-,Comic or graphic novel
Rabid dog,Rabid dog comic book,,,,,England,Epping,Rabid Dog,1984-,Comic or graphic novel
Race into space,,,,,,England,"Hampstead, London",Alan Class,1961-1961,Comic or graphic novel
Race of thieves,Catwoman. Volume 5. Race of thieves,9.7814E+12,"Layman, John, 1967-, author [person] ; Fisch, Sholly, author [person] ; Nocenti, Ann, author [person] ; Olliffe, Pat, artist [person]",The new 52!,,United States of America,New York,DC Comics,2014,Comic or graphic novel ; Fiction
Race to Death Valley,,9.78161E+12,"Gerstein, David, 1974- [person] ; Groth, Gary [person] ; Gottfredson, Floyd [person]",Walt Disney's Mickey Mouse,volume 1 [Walt Disney's Mickey Mouse],England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2011,Children's fiction ; Comic or graphic novel
Race to Mars,,9.78032E+12,"Brockington, Drew, artist ; author [person]",Catstronauts,,England,London,"Little, Brown",2017,Children's fiction ; Comic or graphic novel
Radar : the man from the unknown,,,,,,England,London,Famepress,1962-,Comic or graphic novel
Radiator Springs,,9.78185E+12,,Cars ; Disney pocket stories,,England,Tunbridge Wells,Panini,2009,Children's fiction ; Comic or graphic novel
Radio Bikini,,,,,,England,Liverpool,Twintree Publications,1990-1990,Comic or graphic novel
Radio heartache,,,"Grist, Merv, artist ; author [person]",,,England ; United Kingdom,,,1987,Comic or graphic novel
Radioactive Man: a glowing appreciation,"Dark Radioactive Man! ; Dr. Crab's Commie Comics ; Gloria Grand, Radioactive Girl! ; In his own image ; Inside the Containment Dome! ; Let's draw-- Radioactive Man! ; Radioactive Man Radioactive Repository. Volume one ; Radioactive Man, teen idol! ; Radioactive man ; Radioactive repository. Volume one. Radioactive man ; See no evil, hear no evil! ; The 1,001 faces of Radioactive Ape! ; The Radioactive Man of 1995! ; The heroic life and mortifying death of Radioactive Man Chapter I ; The heroic life and mortifying death of Radioactive Man Chapter II ; The heroic life and mortifying death of Radioactive Man Chapter III ; The heroic life and mortifying death of Radioactive Man Chapter IV ; The molten menace of Magmo, the Lava Man ; The origin of Glowy, the Radioactive Dog ; The origin of Radioactive Man ; To betroth a foe! ; Who washes the Washmen's infinite secrets of legendary crossover knight wars?",9780062089922 ; 9781781167526,"Groening, Matt [person] ; Morrison, Bill, 1959- [person] ; Vance, Cindy [person] ; Vance, Steve [person]",,,United States of America,New York,HarperCollins,2012,Comic or graphic novel
Radioactive man : the official movie adaptation,Colossal compendium ; Homer beats the heat ; How sweet it ain't ; Midway on the midway ; Might MMORPG player ragers ; Moron kombat ; Simpsons Comics colossal compendium. Volume one ; Snake & Apu in Hold-up no. 427 ; The Simpsons save the world ; The crimespree on Springfield 2! ; The league of extraordinary Barts! ; The spectacular Spider-Pig,9.78178E+12,"Boothby, Ian, author [person] ; Verrone, Patric M., author [person] ; Dorkin, Evan, author [person] ; Morrison, Bill, 1959-, artist [person] ; Templeton, Ty, artist [person] ; Delaney, John, 1964-, artist [person] ; De Carlo, Mike, artist [person] ; Yambar, Chris, author [person] ; Groening, Matt [person] ; Ho, Jason, artist [person] ; Ortiz, Phil, artist [person] ; Lash, Batton, artist ; author [person] ; Costanza, John, artist [person] ; Rankine, Dean, artist ; author [person] ; DiGerolamo, Tony, author [person] ; Dixon, Chuck, 1954-, author [person]",,,England,London,Titan,2013,Comic or graphic novel ; Fiction
Radioactive man,"Dark Radioactive Man! ; Dr. Crab's Commie Comics ; Gloria Grand, Radioactive Girl! ; In his own image ; Inside the Containment Dome! ; Let's draw-- Radioactive Man! ; Radioactive Man Radioactive Repository. Volume one ; Radioactive Man, teen idol! ; Radioactive Man: a glowing appreciation ; Radioactive repository. Volume one. Radioactive man ; See no evil, hear no evil! ; The 1,001 faces of Radioactive Ape! ; The Radioactive Man of 1995! ; The heroic life and mortifying death of Radioactive Man Chapter I ; The heroic life and mortifying death of Radioactive Man Chapter II ; The heroic life and mortifying death of Radioactive Man Chapter III ; The heroic life and mortifying death of Radioactive Man Chapter IV ; The molten menace of Magmo, the Lava Man ; The origin of Glowy, the Radioactive Dog ; The origin of Radioactive Man ; To betroth a foe! ; Who washes the Washmen's infinite secrets of legendary crossover knight wars?",9780062089922 ; 9781781167526,"Groening, Matt [person] ; Morrison, Bill, 1959- [person] ; Vance, Cindy [person] ; Vance, Steve [person]",,,United States of America,New York,HarperCollins,2012,Comic or graphic novel
Rag and bone,,9.78168E+12,"Guedes, Renato, artist [person] ; Diggle, Andy, author [person]",Shadowman,3 [Shadowman],United States of America,New York,Valiant Entertainment,2019,Comic or graphic novel ; Fiction ; Science fiction
Rage against the machine,,9.78079E+12,"Kavanagh, Terry, author [person] ; Davis, Alan, 1956-, author [person] ; Casey, Joe, author [person]",Deathlok,,United States of America,New York,Marvel,2015,Comic or graphic novel ; Fiction
Rage in Arkham,Hitman. A rage in Arkham,9781563893148 ; 9781845768829,"Ennis, Garth [person] ; McCrea, John, 1966- [person]",,,England ; United States of America,London ; New York,DC Comics ; Titan,2009,Comic or graphic novel ; Novel
Rage of Ultron,,9.78079E+12,"Remender, Rick, author [person] ; Opeña, Jerome, artist [person]",,,United States of America,New York,Marvel,2015,Comic or graphic novel ; Fiction ; Science fiction
Rage of the Red Lanterns,,9.78185E+12,"Reis, Ivan [person] ; Johns, Geoff, 1973- [person]",Green Lantern,,England,London,Titan,2009,Comic or graphic novel ; Fiction ; Science fiction
Rage planet,,9.7814E+12,"Sharpe, Dave, letterer, artist [person] ; Hi-Fi Colour Design, artist [organisation] ; Johns, Geoff, 1973-, author [person] ; Blond, artist [person] ; Lanham, Travis, artist [person] ; Wright, Jason (Jason St. John), artist [person] ; Humphries, Sam, author [person] ; Van Sciver, Ethan, artist [person]",DC Universe rebirth ; Green Lanterns,volume 1 [Green Lanterns],United States of America,"Burbank, California",DC Comics,2017,Comic or graphic novel ; Fiction ; Science fiction
Ragemoor,,9.7816E+12,"Strnad, Jan, author [person] ; Corben, Richard, artist [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2012,Comic or graphic novel ; Horror
Ragman,,9.7814E+12,"Fawkes, Ray, author [person] ; Miranda, Inaki, artist [person]",,,United States of America,"Burbank, California",DC Comics,2018,Comic or graphic novel ; Fiction ; Science fiction
Ragnarok and roll,,9.78161E+12,"Gaylord, Jerry, artist [person] ; Esquivel, Eric M., author [person]",Loki,,United States of America,Los Angeles,Boom!,2016,Comic or graphic novel ; Fantasy ; Fiction
Ragnarok now,,9.78079E+12,"Remender, Rick, author [person] ; Larroca, Salvador, artist [person] ; Cassaday, John, artist [person]",Marvel now! ; Uncanny Avengers,3 [Uncanny Avengers],United States of America,New York,Marvel,2014,Comic or graphic novel ; Fiction ; Science fiction
Ragnarok prelude,,9.78079E+12,"Pilgrim, Will Corona, author [person] ; Simonson, Walter, artist [person]",Marvel's Thor,,United States of America,New York,Marvel Worldwide,2017,Comic or graphic novel ; Fiction
Ragnarok,,9.78079E+12,"Buscema, John [person] ; Thomas, Roy, 1940- [person]",Thor,,England ; United States of America,London ; New York,Marvel ; Turnaround,2011,Comic or graphic novel ; Fiction
Ragnaroks,,9.7813E+12,"Kolins, Scott, artist [person] ; Oeming, Michael Avon, author [person]",Thor,,United States of America,New York,Marvel Worldwide,2017,Comic or graphic novel ; Fiction
Ragnorok now,Uncanny Avengers. Ragnorok now,9.78185E+12,"Brevoort, Tom, editor [person] ; Acuña, Daniel, 1974-, illustrator [person] ; Ketchum, Daniel, editor [person] ; Remender, Rick, author [person] ; McNiven, Steve, illustrator [person]",,,England,"Tunbridge Wells, Kent",Panini Publishing,2014,Comic or graphic novel ; Fiction ; Science fiction
Rahxephon : the novel,,9.78159E+12,"Hiroki, Ohnogi [person]",,,England ; United States of America,"Fremont, California ; London",Diamond ; DrMaster,2005,Comic or graphic novel ; Fiction ; Science fiction ; Young adult fiction
Rahxephon novel,,9.7816E+12,"Ohnogi, Hiroshi [person]",,,England ; United States of America,"Fremont, California ; London",Diamond ; DrMaster,2005,Comic or graphic novel ; Fiction ; Science fiction ; Young adult fiction
Raider of the Copper Hill,Dreamtime duck of the Never-Never ; King of the Klondike ; Life and times of Scrooge McDuck ; Scrooge McDuck ; The billionaire of Dismal Downs ; The buckaroo of the badlands ; The empire-builder from Calisota ; The invader of Fort Duckberg ; The last of the clan McDuck ; The master of the Mississippi ; The new Laird of Castle McDuck ; The richest duck in the world ; The terror of the Transvaal ; Walt Disney's the life and times of Scrooge McDuck,9780911903966 ; 9781415611432,"Rosa, Don, 1951- [person]",,,United States of America,"West Plains, Missouri",Gemstone Pub,2005,Children's fiction ; Comic or graphic novel ; Fiction ; Humour or satire
Raiders of the lost arse,Joe Turds Turd world and The turds proudly present,9.78099E+12,"Chambers, Matt, editor [person] ; Huw-J., author ; illustrator [person]",A Rimdianna Jone adventure,book 1 [A Rimdianna Jone adventure],England,,Pummie Productions,2015,Comic or graphic novel ; Humour or satire
Raiders,Reidŏsu. English,,"Rich, Jamie S. [person] ; Park, JinJun [person]",,,United States of America,New York,,2009-,Comic or graphic novel
Raiding party,Arena of dread ; For whom the bell trolls ; Hanging tree ; Red Sonja : #1973 ; Silent running ; Simple life,9.78161E+12,"Rodriguez, Ivan, artist [person] ; Baal, Kewber, artist [person] ; Nunes, Ivan, artist [person] ; Rybandt, Joseph, editor [person] ; Simone, Gail [person] ; Thomas, Roy, 1940- [person] ; Howard, Robert E. (Robert Ervin), 1906-1936 [person] ; Aguiar, Arison, artist [person] ; Buckler, Rich, artist [person] ; Bunn, Cullen [person] ; Evely, Bilquis, artist [person] ; Menyz, Marcio, artist [person] ; Rodolfo, Rod, artist [person] ; Trautmann, Eric S. [person] ; Walker, David, 1968- [person] ; Lau, Jonathan, artist [person] ; Lieberman, Luke [person]",Red Sonja,,United States of America,"Montana Laurel, New Jersey",Dynamite,2015,Comic or graphic novel ; Novel
Rails on the prairie,Rails sur la prairie. English,9.78185E+12,"Morris, 1923-2001 [person] ; Goscinny, 1926-1977 [person]",A Lucky Luke adventure,32 [A Lucky Luke adventure],England,Canterbury,Cinebook,2011,Children's fiction ; Comic or graphic novel ; Western
